,Unnamed: 0,Unnamed: 0.1,source_id,ra,dec,g_abs,bp_rp,parallax,parallax_error,dist,date,pmra,pmdec,adv_ra,adv_dec,eph_pt,time_total,num,num_hit,reach_time_years,reach_time_days,year,reach_year,return_year
215,215,1859,640862653425455360,145.26076749717325,22.022373130313945,12.242591898963619,3.0965118,81.023735,0.031308867000000004,12.342062476229865,1978-Apr-02 04:09:27.335,461.7216,-487.4464,145.2659278971907,22.01692521855683,2642,23.441655092592594,1859.0,7.0,40.23512367250936,14695.476570147319,1978,2018.2351236725094,2058.470247345019
124,124,1126,129200553364168064,42.95680788206044,29.486211908541797,11.273611267004947,2.9325514,43.615116,0.053086042,22.927830737920452,1976-Mar-14 22:10:14.798,-70.22798,-153.3108,42.955349777728756,29.48302880195477,1641,3.048599537037037,1126.0,7.0,74.74472820562067,27299.764529820895,1976,2050.7447282056205,2125.489456411241
255,255,2178,3691265460219482240,198.37319834336398,1.3156945673838798,12.954947011130752,3.4540976999999997,30.44753,0.059867054,32.84338583404721,1980-Nov-12 20:20:41.498,130.18513000000002,-516.0815,198.37707024901843,1.300345512288139,3244,7.126909722222222,2178.0,7.0,107.0694378189939,39106.04146900933,1980,2087.0694378189937,2194.1388756379874
107,107,975,100380639907919872,33.074556343426764,21.982406427032114,5.575302748131263,0.95652723,29.08669,0.025358412,34.37998510538136,1975-Aug-10 19:26:00.420,-116.7354,-60.28371,33.07092201896847,21.9805296135854,1423,6.462372685185184,975.0,7.0,112.07875144354323,40935.643177239726,1975,2087.0787514435433,2199.1575028870866
66,66,580,2631967439437024384,349.78695015291197,-6.2209444760271095,15.04522016030084,1.3017502,27.549346999999997,0.20146462,36.29850111383493,1974-Apr-25 10:34:50.293,-605.80817,-1589.9503,349.76703703514664,-6.273206676607576,768,7.051215277777778,580.0,12.0,118.33311363110187,43219.986422623646,1974,2092.3331136311017,2210.6662272622034
370,370,3491,4171266057417283328,270.1720723598571,-7.285026529188544,10.063649919279412,2.5268507000000002,30.816805,0.018981833,32.44982741409063,1992-Mar-18 16:00:36.662,266.68032999999997,57.982085999999995,270.17990879997484,-7.283322717178707,4478,95.05810185185184,3491.0,12.0,105.78643736993544,38637.43838499522,1992,2097.7864373699354,2203.5728747398707
369,369,3479,4171266057429634048,270.1703313868798,-7.2841012970523025,10.595581874836759,2.64857,30.810175,0.014705724,32.45681018955446,1992-Mar-18 16:00:36.662,272.27158,51.64994,270.1783338482716,-7.282583229463882,4478,95.05810185185184,3479.0,12.0,105.80920121794753,38645.752652843155,1992,2097.8092012179477,2203.6184024358954
334,334,2919,4360275817086026624,260.66254968206556,-7.074797542518686,11.662248187540074,2.9670028999999998,29.34991500000001,0.07405671,34.07164945130586,1988-Jan-12 18:28:00.432,37.277287,-49.975063,260.66369982786443,-7.076339462934098,4202,42.38748842592592,2919.0,13.0,111.07357721125709,40568.51334063954,1988,2099.073577211257,2210.147154422514
146,146,1287,183132839955842560,83.6470981120845,35.55149459474423,12.30265954342435,3.2801638,26.471655,0.04120814,37.77625554885227,1976-Jun-28 21:07:29.521,108.83623,-285.7727700000001,83.65082123893968,35.54171872980254,1913,3.167546296296296,1287.0,7.0,123.1505930892584,44979.52261992074,1976,2099.1505930892586,2222.301186178517
333,333,2906,4360275817088229632,260.6620655727855,-7.074838075743892,11.343920895414312,2.8553667000000003,29.020690000000002,0.048573807000000004,34.45817340554183,1988-Jan-12 18:28:00.432,31.161089,-56.03169000000001,260.6630379176502,-7.076586478210112,4202,42.38748842592592,2906.0,13.0,112.33364530206636,41028.74061012672,1988,2100.3336453020665,2212.667290604133
168,168,1463,919034563674060544,117.19349318114112,36.67053370998221,6.583489529803152,1.3706036,25.006714000000002,0.016304327,39.98926069659028,1976-Oct-13 04:28:47.131,-157.63994,-156.98183,117.18778464075018,36.66484900147378,2126,6.859120370370372,1463.0,7.0,130.3649898708843,47614.50890044178,1976,2106.3649898708845,2236.729979741769
343,343,3028,4361790394355496576,261.68041030444124,-6.665739020408568,10.304735645013023,2.630456,27.263493,0.25529465,36.67908639770106,1988-Feb-14 01:38:55.896,-153.3214,48.54014,261.6753177377988,-6.664126760831637,4211,153.8924074074074,3028.0,19.0,119.57382165650546,43673.14262182205,1988,2107.5738216565055,2227.147643313011
79,79,765,2634858433463493120,346.53609503697146,-5.794333510320678,11.64012272877265,2.9013432999999997,24.398006,0.029690161,40.986955327339494,1975-Jan-07 21:21:52.353,-76.24858,-61.60329,346.53326499503845,-5.796619977732362,1002,4.5547106481481485,765.0,7.0,133.61747436712673,48802.44633784937,1975,2108.6174743671268,2242.2349487342535
26,26,192,6764221961023932416,285.82142165644404,-25.923270798399106,12.139162803618095,3.144477,23.667227,0.03687348,42.252521126139676,1973-Sep-30 00:25:03.078,-48.35842,-32.34084,285.81957136479355,-25.924508224755158,266,3.420879629629629,192.0,7.0,137.74321887121533,50309.33326052269,1973,2110.7432188712155,2248.486437742431
234,234,2006,3866388559825590400,166.5704554851353,7.838122217329258,9.919784908782992,2.4037457000000004,24.424713,0.029738202999999998,40.942138991864795,1979-Aug-13 07:37:27.763,-178.55629,41.254845,166.56383543729459,7.839651757654304,2927,8.799097222222223,2006.0,8.0,133.47137311347922,48749.08431596715,1979,2112.4713731134793,2245.9427462269587
235,235,2014,3866482391975888256,166.56813497629636,7.844716009198736,9.933276478904746,2.3987446,24.376617,0.02978806,41.02291890186574,1979-Aug-13 07:37:27.763,-177.71211,39.80314,166.56153322689894,7.846194638559202,2927,7.710011574074074,2014.0,7.0,133.73471562008228,48845.267533078855,1979,2112.734715620082,2246.4694312401643
264,264,2308,3663664003222454528,205.17829119227684,2.0635555103646426,14.605444026491648,0.88842773,24.686607000000002,0.09986009400000001,40.50779377591963,1981-Feb-27 20:08:09.929,-534.8207,30.873490000000004,205.15867285358812,2.064688014389388,3304,22.128043981481486,2308.0,10.0,132.05540770949798,48231.91711181704,1981,2113.055407709498,2245.110815418996
185,185,1590,877757660216383872,121.2009759869796,31.10473197788085,10.578855819450844,2.835208,23.90117,0.020833045,41.83895472200079,1977-May-28 22:27:21.583,74.25061,-193.00533000000001,121.20378915907295,31.097419483175692,2318,3.8108564814814816,1590.0,7.0,136.3949923937226,49816.90702188324,1977,2113.3949923937225,2249.789984787445
86,86,814,2739059700184753280,0.6968385134155948,2.129737830868965,4.0566796491764645,0.7991829,23.371273000000002,0.02326302,42.78757080350254,1975-Mar-15 08:42:58.523,62.34003000000001,-93.35324,0.6992539747458475,2.126120714528389,1129,3.191828703703704,814.0,7.0,139.48748081941827,50946.40749448433,1975,2114.487480819418,2253.9749616388362
46,46,353,6834729690331719808,320.0833853993369,-17.525807214706152,12.51061534549468,3.3240108,23.086551999999998,0.04185013,43.31526052292457,1974-Jan-07 07:22:35.838,157.42987,-170.48125,320.08956049252737,-17.532494240383606,523,2.664976851851852,353.0,7.0,141.20774930473408,51574.71835606108,1974,2115.207749304734,2256.415498609468
186,186,1597,877033906687427200,122.00512375174084,30.8213549472403,13.73754768861425,3.9797860000000003,23.58623900000001,0.09288485,42.3976033605742,1977-Jun-01 16:53:50.949,-3.2905169,-71.62131,122.00499741755849,30.81860516059329,2324,4.3265972222222215,1597.0,7.0,138.2161869554719,50482.08012361656,1977,2115.216186955472,2253.432373910944
299,299,2575,4402297777108231168,236.39020348189538,-4.359208838492596,15.153521152897909,4.7927647,23.951654,0.19717608,41.75076935695734,1983-Nov-05 02:49:05.681,175.51873999999995,-77.58811,236.3968394366559,-4.36214226432992,3755,12.034409722222223,2575.0,8.0,136.1075081036809,49711.90625978842,1983,2119.107508103681,2255.215016207362
104,104,954,94181765149203072,31.60756713987168,20.552379101797666,6.305610953357299,1.2748785,21.951427,0.020180993,45.555124004354894,1975-Jul-29 05:14:07.698,149.99081,20.558489,31.61375467022697,20.553227195559028,1407,4.637708333333333,954.0,7.0,148.50970425419695,54241.684381802894,1975,2123.509704254197,2272.019408508394
103,103,940,91980130553425536,28.424860676385606,18.14946839967556,13.164391251910713,0.2268982,21.720888000000002,0.06522722,46.038633119192745,1975-Jul-09 21:35:43.026,-79.58326,25.328535000000002,28.42154280466505,18.150524360825,1377,4.1825925925925915,940.0,7.0,150.08594396856833,54817.3901750799,1975,2125.0859439685682,2275.1718879371365
294,294,2539,4415429897313362688,231.07402446829744,-1.3905168971631292,9.564482633991474,2.6077204,22.912954,0.022295991,43.64343356069561,1983-Jun-12 14:08:39.536,-356.8556,-362.9575,231.05992096961015,-1.4048615525405743,3702,46.274386574074065,2539.0,8.0,142.2775934078677,51965.4682162896,1983,2125.2775934078677,2267.5551868157354
320,320,2764,4353893388309106048,249.38444258777508,-5.503134549278019,6.836961866745873,1.4547976999999999,23.236174,0.033214625,43.036345653709795,1985-Feb-04 15:39:05.512,-95.65805999999999,16.471204999999998,249.3807146179,-5.502492636235656,3928,32.05005787037037,2764.0,7.0,140.29848683109392,51242.61933018875,1985,2125.298486831094,2265.5969736621882
319,319,2757,4353893392605327872,249.3840651261327,-5.504964477364559,6.894945304605707,1.4413738,23.185959,0.01714233,43.12955120548333,1985-Feb-04 15:39:05.512,-104.07789,18.233383,249.3800002355629,-5.504252350049006,3928,32.05005787037037,2757.0,7.0,140.60233692987566,51353.59754026779,1985,2125.6023369298755,2266.204673859751
