,source_id,g_abs,bp_rp,parallax,dist
539,4043839394369175680,15.848413718662828,2.082985,-17.43121732364053,57.36833988316938
1988,4043839909673029760,15.123721516431223,1.4595661,-15.609089598932304,64.06523542977177
2996,3867106197321131136,11.725638425967956,3.0446196,11.149581722257576,89.68946323822443
4431,4364446848806515968,4.5260654025457505,0.78796005,10.53488145641609,94.92275771085845
5980,4168930729081238784,16.25248043333546,1.7996655,-11.363348078561629,88.00223253625616
13504,4170793950328178432,15.908800457980407,1.9233837,-15.49418827001305,64.5403284491752
15239,4170911190057513600,4.840387644452397,0.85912895,11.32143170060504,88.32805129642377
18384,4160235207014456704,15.71321240092801,2.4194317,11.188521446863534,89.37731448692257
19228,4159410435861693312,17.224619085004655,3.085722,19.129818523644147,52.27441121639581
19481,4159341647673542016,15.666311731845834,2.0760288,-11.249584750448895,88.8921699941055
37834,4156450653648160896,15.419108641565225,2.7561493,-12.920166003025237,77.39838634935894
39894,4251732613345294336,15.930798502495197,3.3614063,-13.280619684114283,75.29769120609318
40009,4251732682065077632,15.614851780072755,2.343521,19.31692696945379,51.76806857432957
45973,4251535835195174528,15.320845322112207,1.958458,-11.550501540663983,86.57632713864949
47684,4155682472997949440,15.423071171759537,2.7147484,-11.855964676481392,84.34573038022745
60632,4251700521323815040,16.078719351431737,2.2863407,13.821604957054397,72.35049786961324
61766,4251507385298115200,14.146427455425961,1.6076412,10.319942457931532,96.89976509815095
63059,4251566140390203776,15.644009799024087,2.218422,12.811868159353807,78.05262960576992
66768,4251690179129219968,17.268445124928235,2.193636,22.453884675563792,44.53572352619608
75933,4203536758119352832,15.917817086791654,-0.49760246,14.104441132786985,70.89965427098095
79244,4251510924351423360,15.527135805547504,2.3826122,10.166664419274237,98.3606774808238
79641,4251511233589528320,14.754446524105248,2.1519184,11.037298811265636,90.60187796848557
79798,4251516799866617728,14.39672948673036,2.1534386,10.039044837436217,99.61107019573599
80520,4251541676239183744,16.49470822576857,1.883234,-19.937181721298156,50.15754051796282
87317,4203505868748985344,15.60516385808199,1.377306,11.459458707134202,87.26415667237755
92849,4203516554586449280,14.734464706525895,1.290369,-10.086513771918295,99.14228271656005
97876,4251542672672676992,15.201641291814514,1.8297348,-12.988386005742736,76.99186023250742
100411,4203514905352628352,15.112364694512753,1.279871,-10.828040936005426,92.35280933181531
114753,4203850565555105024,15.078954227232128,0.9248352,12.297244216215509,81.31903233094863
116339,4203515214570399232,14.521959307897971,1.2243862,-11.160795755170613,89.5993459549438
116422,4203515248930219392,14.075844080263005,1.8321934,10.316770153028179,96.92956081865213
126127,4203840704303624576,15.361353775988977,1.0805969,14.014402063573918,71.35516702487001
129512,4203644819463376128,14.71524787511006,1.4322014,10.06715494050313,99.3329302975864
136832,4203617125543710208,10.724052437676978,2.6707077,14.21071502329623,70.36943590527693
144204,4203648491626451840,8.456911432461897,2.1006374,21.739771487298448,45.99864357287537
145092,4203605477554071552,14.679568331957718,1.3960457,-11.550807630446931,86.5740329155934
147596,4203663408097430784,15.77461675782137,1.4504242,11.081449830470762,90.24089945796543
150521,4203604171932461312,14.876781385608162,1.3117275,-12.896518123792765,77.54030897340435
153842,4203657257722814208,14.846846640727582,1.3260365,-12.334281772065628,81.07484638990289
158425,4203653409409069696,14.4001933701375,1.7629185,-11.634427117708253,85.95180406244015
159055,4203653787366466176,14.626037436981054,1.5108051,-10.039956714372076,99.60202304144521
164360,4202937386824001408,15.06277651093809,1.4077606,12.398438538159498,80.65531775813814
164944,4203688078394856704,2.9690885943820877,0.6070461,12.512915762287221,79.91742444346251
165198,4203688250139088512,15.541690373481128,1.523468,-11.183206548390698,89.41979169148972
166718,4203695328312766336,15.712398051703266,1.7382565,11.731382455215345,85.24144565378452
172641,4203598983611851520,15.1435461558566,1.5364647,12.60662188338344,79.32339125028267
178894,4202952024054537600,14.918805149388191,1.3724728,11.10089745950511,90.0828066962958
193471,4202900896749647616,14.717171103303697,5.435446,12.670895620032717,78.92101947545031
198969,4204396640593975424,15.040187228251874,1.8696156,-10.234478551624797,97.70893504303088
209302,4202892650407482368,15.475945119133106,1.9162521,10.712286258706067,93.35075406403391
217321,4204208525329631232,3.027164805440023,0.5837264,10.47730596731065,95.44438266096407
219409,4202905466591421312,15.534076941725813,0.907177,11.763001770651929,85.01231399071514
