,source_id,g_abs,bp_rp,parallax,dist
4155,147469115153030528,9.977690276927584,2.7255583,19.79891798242993,50.507810623157575
5317,3419918875386344576,12.564851734786075,0.09028053,10.215629451432042,97.88922011651651
6991,3420112385142481408,8.733227861774408,2.2445421,11.944325350804306,83.72176499132804
6998,3420112389433836544,10.095686175121976,2.7128124,11.952685214611543,83.66320889782585
8198,3420108541143263232,11.705019753128692,3.1231833,13.55144556222214,73.79286552186997
10340,3420851982801891456,15.38573647866924,2.9131088,13.333516096118286,74.99897197342601
10875,3420907469483342208,14.745963542196083,3.4708672,11.82010772607557,84.60159781741795
11038,3420850299174737664,5.254768848108245,0.9757185,15.014263715940999,66.60333259887238
