*******************************************************************************
Ephemeris / WWW_USER Tue Sep 14 20:43:55 2021 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Voyager 2 (spacecraft) (-32)    {source: Voyager_2}
Center body name: Earth (399)                     {source: Voyager_2}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 1977-Aug-21 00:00:00.0000 UT      
Stop  time      : A.D. 2030-Dec-31 00:00:00.0000 UT      
Step-size       : 3 calendar months
*******************************************************************************
Target pole/equ : No model available
Target radii    : (unavailable)                                                
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: Voyager_2}
Rel. light bend : Sun, EARTH                      {source: Voyager_2}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.210914.p211208                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2021-SEP-14. PREDICTS-> 2021-DEC-07
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN, , , R.A._(ICRF), DEC_(ICRF),
************************************************
$$SOE
date,na1,na2,ra,dec,
 1996-Feb-21 00:00, , ,   290.80924,  -41.01568,
 1996-May-21 00:00, , ,   291.17272,  -41.98972,
 1996-Aug-21 00:00, , ,   289.17696,  -42.68460,
 1996-Nov-21 00:00, , ,   289.26985,  -42.55351,
 1997-Feb-21 00:00, , ,   291.63608,  -42.72294,
 1997-May-21 00:00, , ,   291.99672,  -43.64850,
 1997-Aug-21 00:00, , ,   290.06431,  -44.29691,
 1997-Nov-21 00:00, , ,   290.10773,  -44.11158,
 1998-Feb-21 00:00, , ,   292.39010,  -44.23195,
 1998-May-21 00:00, , ,   292.76730,  -45.11787,
 1998-Aug-21 00:00, , ,   290.89436,  -45.72687,
 1998-Nov-21 00:00, , ,   290.89380,  -45.50028,
 1999-Feb-21 00:00, , ,   293.09736,  -45.57899,
 1999-May-21 00:00, , ,   293.48855,  -46.42688,
 1999-Aug-21 00:00, , ,   291.67210,  -47.00205,
 1999-Nov-21 00:00, , ,   291.63210,  -46.74434,
 2000-Feb-21 00:00, , ,   293.76134,  -46.78741,
 2000-May-21 00:00, , ,   294.15234,  -47.60917,
 2000-Aug-21 00:00, , ,   292.38513,  -48.14527,
 2000-Nov-21 00:00, , ,   292.34268,  -47.86000,
 2001-Feb-21 00:00, , ,   294.40546,  -47.88166,
 2001-May-21 00:00, , ,   294.78806,  -48.66336,
 2001-Aug-21 00:00, , ,   293.07145,  -49.17392,
 2001-Nov-21 00:00, , ,   292.99663,  -48.87133,
 2002-Feb-21 00:00, , ,   294.99399,  -48.86661,
 2002-May-21 00:00, , ,   295.38678,  -49.61585,
 2002-Aug-21 00:00, , ,   293.71896,  -50.10386,
 2002-Nov-21 00:00, , ,   293.61500,  -49.78883,
 2003-Feb-21 00:00, , ,   295.55068,  -49.76128,
 2003-May-21 00:00, , ,   295.95267,  -50.47992,
 2003-Aug-21 00:00, , ,   294.33156,  -50.94799,
 2003-Nov-21 00:00, , ,   294.20141,  -50.62427,
 2004-Feb-21 00:00, , ,   296.07898,  -50.57693,
 2004-May-21 00:00, , ,   296.47867,  -51.27556,
 2004-Aug-21 00:00, , ,   294.89707,  -51.71680,
 2004-Nov-21 00:00, , ,   294.77306,  -51.38328,
 2005-Feb-21 00:00, , ,   296.59941,  -51.32754,
 2005-May-21 00:00, , ,   296.98894,  -51.99457,
 2005-Aug-21 00:00, , ,   295.45005,  -52.42013,
 2005-Nov-21 00:00, , ,   295.30383,  -52.08345,
 2006-Feb-21 00:00, , ,   297.07810,  -52.01263,
 2006-May-21 00:00, , ,   297.47489,  -52.65426,
 2006-Aug-21 00:00, , ,   295.97661,  -53.06576,
 2006-Nov-21 00:00, , ,   295.81036,  -52.72779,
 2007-Feb-21 00:00, , ,   297.53520,  -52.64388,
 2007-May-21 00:00, , ,   297.93826,  -53.26167,
 2007-Aug-21 00:00, , ,   296.47890,  -53.66044,
 2007-Nov-21 00:00, , ,   296.29434,  -53.32276,
 2008-Feb-21 00:00, , ,   297.97185,  -53.22745,
 2008-May-21 00:00, , ,   298.37136,  -53.83048,
 2008-Aug-21 00:00, , ,   296.94364,  -54.20953,
 2008-Nov-21 00:00, , ,   296.76846,  -53.86933,
 2009-Feb-21 00:00, , ,   298.40536,  -53.77201,
 2009-May-21 00:00, , ,   298.79361,  -54.35031,
 2009-Aug-21 00:00, , ,   297.40091,  -54.71907,
 2009-Nov-21 00:00, , ,   297.20950,  -54.38125,
 2010-Feb-21 00:00, , ,   298.80327,  -54.27508,
 2010-May-21 00:00, , ,   299.19603,  -54.83352,
 2010-Aug-21 00:00, , ,   297.83692,  -55.19275,
 2010-Nov-21 00:00, , ,   297.63040,  -54.85809,
 2011-Feb-21 00:00, , ,   299.18279,  -54.74408,
 2011-May-21 00:00, , ,   299.57942,  -55.28369,
 2011-Aug-21 00:00, , ,   298.25238,  -55.63414,
 2011-Nov-21 00:00, , ,   298.03183,  -55.30311,
 2012-Feb-21 00:00, , ,   299.54478,  -55.18211,
 2012-May-21 00:00, , ,   299.93678,  -55.71073,
 2012-Aug-21 00:00, , ,   298.63466,  -56.04548,
 2012-Nov-21 00:00, , ,   298.42552,  -55.71454,
 2013-Feb-21 00:00, , ,   299.90546,  -55.59476,
 2013-May-21 00:00, , ,   300.28547,  -56.10338,
 2013-Aug-21 00:00, , ,   299.01300,  -56.43055,
 2013-Nov-21 00:00, , ,   298.79165,  -56.10398,
 2014-Feb-21 00:00, , ,   300.23563,  -55.97851,
 2014-May-21 00:00, , ,   300.61890,  -56.47100,
 2014-Aug-21 00:00, , ,   299.37502,  -56.79107,
 2014-Nov-21 00:00, , ,   299.14269,  -56.46903,
 2015-Feb-21 00:00, , ,   300.55247,  -56.33855,
 2015-May-21 00:00, , ,   300.93868,  -56.81574,
 2015-Aug-21 00:00, , ,   299.72255,  -57.12911,
 2015-Nov-21 00:00, , ,   299.48034,  -56.81184,
 2016-Feb-21 00:00, , ,   300.85724,  -56.67696,
 2016-May-21 00:00, , ,   301.23907,  -57.14573,
 2016-Aug-21 00:00, , ,   300.04419,  -57.44609,
 2016-Nov-21 00:00, , ,   299.81474,  -57.13005,
 2017-Feb-21 00:00, , ,   301.16513,  -56.99795,
 2017-May-21 00:00, , ,   301.53569,  -57.45039,
 2017-Aug-21 00:00, , ,   300.36660,  -57.74510,
 2017-Nov-21 00:00, , ,   300.12839,  -57.43411,
 2018-Feb-21 00:00, , ,   301.44870,  -57.29846,
 2018-May-21 00:00, , ,   301.82188,  -57.73779,
 2018-Aug-21 00:00, , ,   300.67781,  -58.02718,
 2018-Nov-21 00:00, , ,   300.43143,  -57.72141,
 2019-Feb-21 00:00, , ,   301.72270,  -57.58262,
 2019-May-21 00:00, , ,   302.09827,  -58.00948,
 2019-Aug-21 00:00, , ,   300.97833,  -58.29392,
 2019-Nov-21 00:00, , ,   300.72417,  -57.99341,
 2020-Feb-21 00:00, , ,   301.98752,  -57.85183,
 2020-May-21 00:00, , ,   302.35885,  -58.27245,
