,Unnamed: 0,Unnamed: 0.1,source_id,ra,dec,g_abs,bp_rp,parallax,parallax_error,dist,date,pmra,pmdec,adv_ra,adv_dec,eph_pt,time_total,num,num_hit,reach_time_years,reach_time_days,year,reach_year,return_year
135,135,1369,3618253627527608832,206.05377972433064,-8.488357586416202,5.968229691845098,1.0842638,26.347316999999997,0.018285606,37.954529100417254,1982-Jan-07 22:46:45.714,-9.301129,-8.848533999999997,206.0534600448669,-8.488661710182438,1848,62.12572916666666,1369.0,20.0,123.73176486736024,45191.78980015466,1982,2105.73176486736,2229.4635297347204
162,162,1736,6254299662396908288,235.1180104399561,-18.696846890349047,6.950147843637677,1.5021353000000002,25.955662,0.040149555,38.52723959494548,1983-Nov-10 18:40:27.558,-59.25974,-150.49217,235.1159429515908,-18.70209734910645,2161,8.286516203703703,1736.0,7.0,125.59880107952225,45873.706106284706,1983,2108.598801079522,2234.1976021590444
50,50,438,636173132864189824,136.6704761810397,18.625654622746985,10.489471352321443,2.577917,24.82006,0.021123251000000003,40.289990055990756,1978-Oct-03 01:29:18.887,-94.6764,-87.07712,136.6670219264823,18.622477626855048,833,10.404212962962962,438.0,14.0,131.34536758252986,47972.58205584321,1978,2109.34536758253,2240.69073516506
79,79,765,3877312207847496960,155.5301009132022,11.280677253219205,9.652424415946626,2.3260927000000002,24.647732,0.03499096,40.5716846030686,1979-Sep-30 21:35:32.323,-318.0544700000001,59.05208199999999,155.51841560971218,11.282846823394394,1238,4.667002314814815,765.0,7.0,132.2636918060036,48307.99079522476,1979,2111.2636918060034,2243.527383612007
100,100,957,3866388559825590400,166.5704554851353,7.838122217329258,9.919784908782992,2.4037457000000004,24.424713,0.029738202999999998,40.942138991864795,1979-Dec-23 05:43:32.594,-178.55629,41.254845,166.56383543729459,7.839651757654304,1329,39.341145833333336,957.0,12.0,133.47137311347922,48749.08431596715,1979,2112.4713731134793,2245.9427462269587
94,94,877,3867561120257177728,163.98134623276462,9.028746885372565,10.709754602155533,2.5498571,24.569927,0.019630555,40.70016126730922,1980-Feb-22 03:05:22.551,-179.72614,21.920054999999998,163.97472219480832,9.029554777217,1349,19.66025462962963,877.0,14.0,132.68252573142806,48460.965698146785,1980,2112.682525731428,2245.365051462856
101,101,969,3866482391975888256,166.56813497629636,7.844716009198736,9.933276478904746,2.3987446,24.376617,0.02978806,41.02291890186574,1979-Dec-23 05:43:32.594,-177.71211,39.80314,166.56153322689894,7.846194638559202,1329,39.341145833333336,969.0,12.0,133.73471562008228,48845.267533078855,1979,2112.734715620082,2246.4694312401643
144,144,1459,6311161632077847680,220.41980635548043,-14.158191313131953,11.347837300390985,2.9107122000000003,24.679949,0.028375702000000006,40.51872262093122,1982-Nov-18 11:34:04.574,-350.1287,-162.91866000000005,220.40695943918809,-14.164169121784544,2000,6.809074074074074,1459.0,7.0,132.09103574423577,48244.929895224675,1982,2114.091035744236,2246.1820714884716
51,51,452,632104703618657792,139.74460674780272,17.704797066438807,3.3521864098967655,0.6748656999999999,23.611584,0.1392276,42.352093459468925,1978-Oct-24 03:05:12.079,-133.87802,-108.941505,139.73947223059378,17.700618919576254,857,18.752152777777773,452.0,15.0,138.06782467786869,50427.89228534476,1978,2116.067824677869,2254.1356493557378
185,185,2076,4068703402331341056,267.72405406889635,-23.11481486905797,11.652323823989535,3.0873174999999997,24.531482999999998,0.03300887,40.7639445348862,1986-Dec-31 18:21:34.884,49.09689,-124.61084,267.72586643373216,-23.11941475932846,2513,13.978599537037034,2076.0,7.0,132.890459183729,48536.91131226518,1986,2118.890459183729,2251.780918367458
3,3,42,220457029171453568,58.75428979714245,37.2293645041942,9.55162279563741,2.3839092,22.858744,0.019866025,43.74693616330672,1977-Oct-31 18:52:13.368,66.411804,-44.017616,58.75692072153765,37.227620732558044,104,1.6841550925925926,42.0,7.0,142.6150118923799,52088.70694357283,1977,2119.6150118923797,2262.2300237847594
