,spacecraft,source_id,ra,dec,g_abs,bp_rp,parallax,parallax_error,dist,date,pmra,pmdec,adv_ra,adv_dec,eph_pt,time_total,num,num_hit,reach_time_years,reach_time_days,year,reach_year,return_year
0,Pioneer 10,2611561706216413696,343.48356406407754,-6.7848302060775545,15.764733952284036,1.420248,117.13884,0.03412185,8.536878138591662,1974-Apr-03 13:34:42.502,2485.7988,-681.2536,343.50278083918795,-6.790096721250415,1222,3.5378009259259264,952.0,7.0,27.830222731808814,10164.710550565853,1974,2001.8302227318088,2029.6604454636176
1,Voyager 2,6306068659857135232,226.94794579637428,-16.46512505032577,18.60239125866537,4.8324833,134.9474,0.26107797,7.410294515561155,1983-Jan-19 14:09:29.247,-151.79462,-896.01215,226.9469271878985,-16.471137684937485,2054,49.101585648148145,1620.0,19.0,24.157560120729364,8823.307258495193,1983,2007.1575601207294,2031.3151202414588
0,Voyager 2,3698534434669937024,183.56472559955643,0.6227271293051196,12.28953558181262,3.3687391000000004,123.64296000000002,0.0448867,8.087803812507984,1980-Nov-01 06:08:25.209,-951.3357,-284.04938,183.5577580535325,0.620646762591032,1557,11.922893518518519,1051.0,9.0,26.366240428776027,9630.005654206156,1980,2006.3662404287759,2032.732480857552
0,Pioneer 11,640862653425455360,145.26076749717325,22.022373130313945,12.242591898963619,3.0965118,81.023735,0.031308867000000004,12.342062476229865,1978-Apr-02 04:09:27.335,461.7216,-487.4464,145.2659278971907,22.01692521855683,2642,23.441655092592594,1859.0,7.0,40.23512367250936,14695.476570147319,1978,2018.2351236725092,2058.470247345019
2,Voyager 2,117709729140217216,52.207647981299324,26.48616945277209,11.206700760746283,2.765005,65.13194,0.032710668,15.353449594669025,1978-Jan-05 22:35:08.306,225.89886,-133.00423999999998,52.210788746444365,26.484320239905482,225,5.009791666666667,99.0,7.0,50.05224567862103,18281.08221165954,1978,2028.052245678621,2078.1044913572423
0,Voyager 1,3814369840081992448,170.40697509246232,6.1335228685553735,10.952994841982393,2.542982,50.12897,0.029280723999999998,19.948544286059008,1979-Dec-03 23:46:40.808,-766.2313,-1582.6664,170.39313348407757,6.104932744924837,1256,22.19736111111111,1297.0,15.0,65.03225437255236,23752.380587031024,1979,2044.0322543725524,2109.064508745105
4,Voyager 2,3429699684156117760,90.97724324420338,26.146118361178626,10.821682641628179,2.5510902,44.92557,0.045850974,22.25903795789901,1978-May-04 12:51:13.077,338.1935,-544.28845,90.98406014711159,26.135147241387426,498,2.67457175925926,218.0,7.0,72.56446374275077,26503.44473740229,1978,2050.564463742751,2123.128927485501
2,Pioneer 10,148133112801536000,69.9536024884882,25.157046651618792,10.854072358486476,2.719630200000001,47.2566,0.0319613,21.161065589584275,1986-Jul-10 17:16:43.682,-93.40466,-49.537273,69.95181261828455,25.15609739184191,2677,408.53197916666664,3785.0,46.0,68.98507382204474,25196.108362763618,1986,2054.985073822045,2123.970147644089
1,Pioneer 11,129200553364168064,42.95680788206044,29.486211908541797,11.273611267004947,2.9325514,43.615116,0.053086042,22.927830737920452,1976-Mar-14 22:10:14.798,-70.22798,-153.3108,42.955349777728756,29.48302880195477,1641,3.048599537037037,1126.0,7.0,74.74472820562067,27299.76452982089,1976,2050.7447282056205,2125.489456411241
2,Voyager 1,4540984195244025088,257.46817080562016,11.925767768358645,11.299846324551375,2.9291964,54.328345999999996,0.32495409999999997,18.406597457493234,2008-Feb-27 08:23:51.571,-363.3307,-77.59402,257.46211473343385,11.92447441499419,3103,5633.857962962963,3771.0,284.0,60.00550771142794,21916.41163652194,2008,2068.005507711428,2128.011015422856
5,Voyager 2,663767443044739840,127.05152834465488,20.136505290091094,10.169940150819494,2.437481,42.562508,0.02322565,23.494856287776138,1979-May-13 07:42:00.102,-261.22934,-634.08246,127.04597045151907,20.123014605817307,1013,7.6997337962962975,653.0,7.0,76.5932314981502,27974.911872384386,1979,2055.59323149815,2132.1864629963
1,Pioneer 10,6233452028580863744,236.8746760655141,-27.919921092193647,10.172965144980733,2.4603882,40.19231,0.030303655,24.88038114028689,1972-Apr-28 01:35:27.459,95.05887,23.440449,236.87681779746586,-27.91939296516125,53,2.9100347222222216,21.0,7.0,81.11004251733526,29624.631929031533,1972,2053.1100425173354,2134.2200850346712
3,Pioneer 10,4110228589254067328,262.76546808946375,-24.87933735251089,9.90708944235366,2.588153,37.619877,0.020443624,26.581692536624807,1972-Oct-09 02:43:42.641,-121.440926,-140.96507,262.7625448583956,-24.88273055359053,348,2.6583449074074075,231.0,7.0,86.65631766939688,31650.35346557052,1972,2058.6563176693967,2145.3126353387934
1,Voyager 1,865699110037321600,113.66379783055443,22.337198814248747,8.626734507888294,2.0994568,38.698074,0.018810311,25.841079098480076,1978-Jul-12 19:20:40.070,173.97565,-96.765175,113.66786895663417,22.334934455794805,591,3.156064814814815,536.0,7.0,84.24191786104504,30768.518079568086,1978,2062.241917861045,2146.4838357220897
4,Pioneer 10,84210874016975360,43.26206752683281,19.48530195843993,12.575896762574176,3.3083887,35.072506,0.041644199999999985,28.5123624014539,1977-May-06 20:45:47.297,-190.16098,-22.790089,43.257157656118295,19.484713528633094,1977,9.876238425925926,1610.0,7.0,92.9503014287397,33949.168093832894,1977,2069.9503014287397,2162.9006028574795
3,Voyager 1,3367558512468755968,108.34340351931557,23.06630409293805,10.269328401425748,2.8566742,33.078136,0.035145655,30.23144915343662,1978-Jun-25 18:07:17.610,237.75142999999997,25.272953,108.3499122688274,23.066995972342216,552,3.0028587962962963,508.0,7.0,98.55452424020338,35996.05443349188,1978,2076.554524240204,2175.109048480407
4,Voyager 1,1174143182830505984,222.75866853667813,9.72392000919409,4.9474233128012095,0.8879099,33.291656,0.023258043,30.03755611187449,1983-Apr-03 11:20:56.041,-216.19577,56.33984,222.75278786091462,9.72545249214148,1913,20.425891203703703,1778.0,7.0,97.92243292471085,35765.18940142138,1983,2080.922432924711,2178.8448658494212
2,Pioneer 11,3691265460219482240,198.37319834336398,1.3156945673838798,12.954947011130752,3.4540977,30.44753,0.059867054,32.84338583404721,1980-Nov-12 20:20:41.498,130.18513000000002,-516.0815,198.37707024901843,1.300345512288139,3244,7.126909722222222,2178.0,7.0,107.06943781899392,39106.04146900933,1980,2087.0694378189937,2194.1388756379874
3,Pioneer 11,100380639907919872,33.074556343426764,21.982406427032114,5.575302748131263,0.95652723,29.08669,0.025358412,34.37998510538136,1975-Aug-10 19:26:00.420,-116.7354,-60.28371,33.07092201896847,21.9805296135854,1423,6.4623726851851835,975.0,7.0,112.07875144354324,40935.643177239726,1975,2087.0787514435433,2199.1575028870866
4,Pioneer 11,2631967439437024384,349.78695015291197,-6.2209444760271095,15.04522016030084,1.3017502,27.549347,0.20146462,36.29850111383493,1974-Apr-25 10:34:50.293,-605.80817,-1589.9503,349.76703703514664,-6.273206676607576,768,7.051215277777778,580.0,12.0,118.33311363110188,43219.986422623646,1974,2092.3331136311012,2210.6662272622034
0,New Horizons,3618803417701443072,208.80174216827487,-8.707085138213362,9.196508313491623,2.4833622,28.743696000000003,0.056077782,34.790236878296085,2006-Jan-20 14:11:26.161,-263.0916,27.56662,208.793453593928,-8.706216665155491,16,0.0002456629372427983,0.0,11.0,113.41617222324524,41424.12274281809,2006,2119.4161722232448,2232.8323444464904
1,New Horizons,4117657650084825472,263.3719437368399,-21.825692784434448,11.429568840963073,2.644228,27.464309999999998,0.02911619,36.410891487920715,2007-Dec-27 09:18:04.282,-256.09283,-168.99721,263.36349981536085,-21.83126497919909,845,0.0006220857178069274,1089.0,19.0,118.69950625062151,43353.807662977015,2007,2125.6995062506217,2244.3990125012438
