,Unnamed: 0,Unnamed: 0.1,source_id,ra,dec,g_abs,bp_rp,parallax,parallax_error,dist,date,pmra,pmdec,adv_ra,adv_dec,eph_pt,time_total,num,num_hit,reach_time_years,reach_time_days,year,reach_year,return_year
159,159,1748,1173375929872784256,223.4674080327094,8.383699330587866,11.660462117753761,2.8899355,23.606031,0.03165093,42.36205494685473,1983-Feb-23 01:06:46.125,-90.98349,-95.448425,223.46391779458855,8.380037812079728,1901,38.38162037037037,1748.0,13.0,138.1002991267464,50439.753253052855,1983,2121.1002991267464,2259.200598253493
6,6,86,150371374878785792,65.04007975944181,25.44443159617753,14.399175403887286,0.91711617,22.452234,0.11542876,44.538997235426734,1977-Sep-06 00:00:00.000,66.56371999999999,-24.027006,65.04276444527676,25.443462525302518,0,5.967152777777778,86.0,8.0,145.19713098749114,53031.80012187127,1977,2122.197130987491,2267.3942619749823
27,27,256,145218857232329472,69.15895811624549,23.04174942608289,9.833889388856793,2.7881412999999995,22.479937,0.03354585,44.48411122351415,1978-Mar-05 00:55:38.123,103.314705,-51.867027,69.16311992868741,23.039660073558586,271,2.8803240740740734,256.0,7.0,145.01820258865612,52966.44831348077,1978,2123.018202588656,2268.036405177312
26,26,249,145227760700173568,68.82173637148654,23.04488271994093,5.432685436301396,0.9461355,22.218586,0.019024502,45.00736461984775,1978-Mar-03 19:06:50.898,-12.084323,-65.60977,68.82124385434193,23.04220868204745,268,2.891122685185185,249.0,7.0,146.72400866070365,53589.4769232354,1978,2124.7240086607035,2271.448017321407
172,172,1860,1166577855636534144,228.43348314552463,7.903522678361022,8.568809469908222,2.3684216,22.734951,0.025072334,43.985139847086266,1983-Dec-09 17:43:58.463,-49.09665,18.073793,228.4315275759285,7.904242575980907,2001,14.827152777777776,1860.0,7.0,143.39155590150122,52372.331877464305,1983,2126.3915559015013,2269.7831118030026
106,106,1270,3818259740422306048,167.13063071372753,7.228097378119157,11.767392679751222,3.107154,21.922594,0.039474204,45.61503975246379,1979-Nov-06 19:25:05.171,-16.025997,-348.65393,167.12996872809177,7.21369553518738,1229,6.0384375,1270.0,7.0,148.70502959303192,54313.02500855898,1979,2127.705029593032,2276.4100591860642
22,22,221,145727729255780736,66.57745017375387,22.81337543021252,0.9157548423482176,0.40032077,21.748573,0.16727245,45.98002756584601,1978-Feb-25 01:57:27.340,107.9496,-46.119114,66.5819449255263,22.81145514548129,252,2.957453703703704,221.0,7.0,149.89488986465798,54747.60957416768,1978,2127.894889864658,2277.7897797293163
247,247,2998,4447967779275914496,254.24702276548058,11.565531546768993,11.4913170029655,2.9428968,24.048422,0.022771047000000003,41.58277020556064,1998-Jan-20 03:33:02.868,-306.8776,-142.44943,254.23546712436402,11.560167536655555,2835,329.0041550925926,2998.0,30.0,135.55983087012768,49511.87262700544,1998,2133.559830870128,2269.1196617402557
21,21,207,52627853482094080,64.00366611013375,22.416269244690515,9.834187656430183,2.5678596,20.891783,0.027442295,47.86570928187833,1978-Feb-16 20:44:04.458,287.69684,-114.818985,64.01613635653231,22.411292405035034,233,3.0640740740740733,207.0,7.0,156.04221225892334,56992.857605449164,1978,2134.0422122589234,2290.084424517847
25,25,242,145226970426193280,68.80537744580039,22.98880942338507,11.006050263864331,3.2254057,20.723091,0.1666228,48.255349259650465,1978-Mar-03 19:06:50.898,97.801186,-41.658195,68.80965115560953,22.98698904628417,268,2.891122685185185,242.0,7.0,157.3124385864605,57456.79506931883,1978,2135.3124385864603,2292.6248771729206
