,date,ra,dec
93,2006-Mar-18 03:20:46.727,200.28958,-5.7291
94,2006-Mar-18 13:36:11.603,200.168,-5.6886
95,2006-Mar-18 23:53:32.800,200.04643,-5.64815
96,2006-Mar-19 10:13:00.776,199.92487,-5.60777
97,2006-Mar-19 20:34:46.233,199.80332,-5.56744
98,2006-Mar-20 06:59:00.151,199.68177,-5.52718
99,2006-Mar-20 17:25:53.820,199.56023,-5.48698
100,2006-Mar-21 03:55:38.880,199.43869,-5.44685
101,2006-Mar-21 14:28:27.372,199.31716,-5.40678
102,2006-Mar-22 01:04:31.761,199.19564,-5.36679
103,2006-Mar-22 11:44:05.006,199.07412,-5.32687
104,2006-Mar-22 22:27:20.579,198.95261,-5.28703
105,2006-Mar-23 09:14:32.553,198.8311,-5.24726
106,2006-Mar-23 20:05:55.671,198.70959,-5.20758
107,2006-Mar-24 07:01:45.403,198.58809,-5.16798
108,2006-Mar-24 18:02:18.054,198.4666,-5.12847
109,2006-Mar-25 05:07:50.813,198.3451,-5.08905
110,2006-Mar-25 16:18:41.889,198.22361,-5.04973
111,2006-Mar-26 03:35:10.575,198.10213,-5.01051
112,2006-Mar-26 14:57:37.401,197.98065,-4.97139
113,2006-Mar-27 02:26:24.218,197.85917,-4.93239
114,2006-Mar-27 14:01:54.363,197.73769,-4.8935
115,2006-Mar-28 01:44:32.758,197.61621,-4.85474
116,2006-Mar-28 13:34:46.093,197.49474,-4.8161
117,2006-Mar-29 01:33:02.936,197.37327,-4.7776
118,2006-Mar-29 13:39:53.937,197.2518,-4.73925
119,2006-Mar-30 01:55:51.967,197.13033,-4.70105
120,2006-Mar-30 14:21:32.344,197.00886,-4.66301
121,2006-Mar-31 02:57:33.021,196.88739,-4.62514
122,2006-Mar-31 15:44:34.878,196.76592,-4.58745
123,2006-Apr-01 04:43:21.973,196.64445,-4.54995
124,2006-Apr-01 17:54:41.968,196.52298,-4.51264
125,2006-Apr-02 07:19:26.477,196.4015,-4.47556
126,2006-Apr-02 20:58:31.653,196.28002,-4.43869
127,2006-Apr-03 10:52:58.727,196.15854,-4.40207
128,2006-Apr-04 01:03:54.799,196.03706,-4.3657
129,2006-Apr-04 15:32:33.740,195.91558,-4.32961
130,2006-Apr-05 06:20:17.187,195.79409,-4.29381
131,2006-Apr-05 21:28:35.918,195.6726,-4.25831
132,2006-Apr-06 12:59:11.361,195.55111,-4.22316
133,2006-Apr-07 04:53:57.596,195.42963,-4.18836
134,2006-Apr-07 21:15:03.668,195.30815,-4.15395
135,2006-Apr-08 14:04:56.698,195.18667,-4.11997
136,2006-Apr-09 07:26:25.441,195.06521,-4.08646
137,2006-Apr-10 01:22:45.335,194.94377,-4.05345
138,2006-Apr-10 19:57:44.735,194.82235,-4.02101
139,2006-Apr-11 15:15:53.252,194.70096,-3.98919
140,2006-Apr-12 11:22:32.984,194.57962,-3.95808
141,2006-Apr-13 08:24:14.053,194.45835,-3.92776
142,2006-Apr-14 06:28:56.475,194.33717,-3.89835
143,2006-Apr-15 05:46:42.039,194.21611,-3.87
144,2006-Apr-16 06:30:22.291,194.09522,-3.8429
145,2006-Apr-17 08:56:53.678,193.97458,-3.81729
146,2006-Apr-18 13:29:21.246,193.85431,-3.79353
147,2006-Apr-19 20:40:34.873,193.7346,-3.77213
148,2006-Apr-21 07:19:57.769,193.61578,-3.75387
149,2006-Apr-22 22:47:41.389,193.49851,-3.74008
150,2006-Apr-24 21:29:05.573,193.38425,-3.73325
151,2006-Apr-27 08:36:20.955,193.27708,-3.73912
152,2006-Apr-30 23:02:30.995,193.194,-3.77611
153,2006-May-07 20:04:13.481,193.2641,-3.93421
154,2006-May-10 18:41:11.304,193.37869,-4.03376
155,2006-May-12 22:07:27.229,193.4915,-4.11717
156,2006-May-14 17:16:52.259,193.6043,-4.19384
157,2006-May-16 07:27:29.515,193.71732,-4.2665
158,2006-May-17 18:12:09.211,193.83062,-4.33642
159,2006-May-19 02:23:23.226,193.94417,-4.40431
160,2006-May-20 08:34:22.973,194.05798,-4.47061
161,2006-May-21 13:07:43.248,194.17201,-4.53563
162,2006-May-22 16:19:36.683,194.28626,-4.59958
163,2006-May-23 18:22:11.000,194.40069,-4.66262
164,2006-May-24 19:24:48.935,194.5153,-4.72486
165,2006-May-25 19:34:57.545,194.63006,-4.78642
166,2006-May-26 18:58:39.988,194.74497,-4.84736
167,2006-May-27 17:40:56.721,194.86002,-4.90774
168,2006-May-28 15:46:00.067,194.97519,-4.96763
169,2006-May-29 13:17:24.491,195.09048,-5.02706
170,2006-May-30 10:18:14.076,195.20588,-5.08607
171,2006-May-31 06:51:08.116,195.32138,-5.1447
172,2006-Jun-01 02:58:25.410,195.43699,-5.20297
173,2006-Jun-01 22:42:07.649,195.55269,-5.26091
174,2006-Jun-02 18:04:02.126,195.66848,-5.31854
175,2006-Jun-03 13:05:43.932,195.78435,-5.37588
176,2006-Jun-04 07:48:37.770,195.90032,-5.43294
177,2006-Jun-05 02:13:59.435,196.01636,-5.48974
178,2006-Jun-05 20:22:57.053,196.13248,-5.5463
179,2006-Jun-06 14:16:32.112,196.24868,-5.60263
180,2006-Jun-07 07:55:40.314,196.36495,-5.65873
181,2006-Jun-08 01:21:12.299,196.48129,-5.71462
182,2006-Jun-08 18:33:54.244,196.59771,-5.77031
183,2006-Jun-09 11:34:28.365,196.71419,-5.82581
184,2006-Jun-10 04:23:33.345,196.83074,-5.88112
185,2006-Jun-10 21:01:44.687,196.94736,-5.93625
186,2006-Jun-11 13:29:35.021,197.06404,-5.99121
187,2006-Jun-12 05:47:34.364,197.18079,-6.04601
188,2006-Jun-12 21:56:10.346,197.2976,-6.10064
189,2006-Jun-13 13:55:48.419,197.41446,-6.15512
190,2006-Jun-14 05:46:52.039,197.53139,-6.20945
191,2006-Jun-14 21:29:42.848,197.64838,-6.26364
192,2006-Jun-15 13:04:40.835,197.76543,-6.31768
193,2006-Jun-16 04:32:04.500,197.88254,-6.37159
194,2006-Jun-16 19:52:11.001,197.9997,-6.42537
195,2006-Jun-17 11:05:16.299,198.11692,-6.47902
196,2006-Jun-18 02:11:35.290,198.2342,-6.53254
197,2006-Jun-18 17:11:21.924,198.35153,-6.58594
198,2006-Jun-19 08:04:49.319,198.46891,-6.63923
199,2006-Jun-19 22:52:09.855,198.58635,-6.69239
200,2006-Jun-20 13:33:35.258,198.70384,-6.74545
201,2006-Jun-21 04:09:16.681,198.82139,-6.79839
202,2006-Jun-21 18:39:24.767,198.93898,-6.85122
203,2006-Jun-22 09:04:09.700,199.05663,-6.90395
204,2006-Jun-22 23:23:41.259,199.17432,-6.95657
205,2006-Jun-23 13:38:08.852,199.29207,-7.00909
206,2006-Jun-24 03:47:41.553,199.40986,-7.06151
207,2006-Jun-24 17:52:28.123,199.52771,-7.11383
208,2006-Jun-25 07:52:37.033,199.6456,-7.16605
209,2006-Jun-25 21:48:16.481,199.76354,-7.21817
210,2006-Jun-26 11:39:34.399,199.88152,-7.2702
211,2006-Jun-27 01:26:38.467,199.99956,-7.32214
212,2006-Jun-27 15:09:36.116,200.11764,-7.37398
213,2006-Jun-28 04:48:34.534,200.23576,-7.42573
214,2006-Jun-28 18:23:40.674,200.35393,-7.47739
215,2006-Jun-29 07:55:01.254,200.47215,-7.52896
216,2006-Jun-29 21:22:42.763,200.59042,-7.58044
217,2006-Jun-30 10:46:51.469,200.70872,-7.63183
218,2006-Jul-01 00:07:33.423,200.82708,-7.68314
219,2006-Jul-01 13:24:54.463,200.94548,-7.73436
220,2006-Jul-02 02:39:00.227,201.06392,-7.7855
221,2006-Jul-02 15:49:56.155,201.18241,-7.83655
222,2006-Jul-03 04:57:47.497,201.30094,-7.88752
223,2006-Jul-03 18:02:39.326,201.41952,-7.9384
224,2006-Jul-04 07:04:36.537,201.53814,-7.98921
225,2006-Jul-04 20:03:43.863,201.65681,-8.03993
226,2006-Jul-05 09:00:05.874,201.77552,-8.09057
227,2006-Jul-05 21:53:46.988,201.89427,-8.14113
228,2006-Jul-06 10:44:51.476,202.01307,-8.19161
229,2006-Jul-06 23:33:23.462,202.13191,-8.24202
230,2006-Jul-07 12:19:26.931,202.2508,-8.29234
231,2006-Jul-08 01:03:05.728,202.36973,-8.34258
232,2006-Jul-08 13:44:23.558,202.48871,-8.39275
233,2006-Jul-09 02:23:23.990,202.60772,-8.44284
