date,na1,na2,ra,dec,
 1979-Jun-28 00:00, , ,   139.28007,   16.92929,
 1979-Jul-08 00:00, , ,   141.57190,   16.24941,
 1979-Jul-18 00:00, , ,   143.89000,   15.53416,
 1979-Jul-28 00:00, , ,   146.21787,   14.78962,
 1979-Aug-07 00:00, , ,   148.53750,   14.02306,
 1979-Aug-17 00:00, , ,   150.83310,   13.24186,
 1979-Aug-27 00:00, , ,   153.09065,   12.45365,
 1979-Sep-06 00:00, , ,   155.29388,   11.66717,
 1979-Sep-16 00:00, , ,   157.42864,   10.89097,
 1979-Sep-26 00:00, , ,   159.48037,   10.13412,
 1979-Oct-06 00:00, , ,   161.43215,    9.40650,
 1979-Oct-16 00:00, , ,   163.26900,    8.71753,
 1979-Oct-26 00:00, , ,   164.97388,    8.07723,
 1979-Nov-05 00:00, , ,   166.52840,    7.49582,
 1979-Nov-15 00:00, , ,   167.91639,    6.98251,
 1979-Nov-25 00:00, , ,   169.11962,    6.54667,
 1979-Dec-05 00:00, , ,   170.12160,    6.19641,
 1979-Dec-15 00:00, , ,   170.90983,    5.93767,
 1979-Dec-25 00:00, , ,   171.47300,    5.77496,
 1980-Jan-04 00:00, , ,   171.80738,    5.70902,
 1980-Jan-14 00:00, , ,   171.91709,    5.73664,
 1980-Jan-24 00:00, , ,   171.81327,    5.85083,
 1980-Feb-03 00:00, , ,   171.52040,    6.03887,
 1980-Feb-13 00:00, , ,   171.07194,    6.28401,
 1980-Feb-23 00:00, , ,   170.50981,    6.56614,
 1980-Mar-04 00:00, , ,   169.88540,    6.86203,
 1980-Mar-14 00:00, , ,   169.25010,    7.14916,
 1980-Mar-24 00:00, , ,   168.65497,    7.40626,
 1980-Apr-03 00:00, , ,   168.14711,    7.61492,
 1980-Apr-13 00:00, , ,   167.76241,    7.76185,
 1980-Apr-23 00:00, , ,   167.52912,    7.83758,
 1980-May-03 00:00, , ,   167.46469,    7.83716,
 1980-May-13 00:00, , ,   167.57546,    7.75989,
 1980-May-23 00:00, , ,   167.86238,    7.60712,
 1980-Jun-02 00:00, , ,   168.31830,    7.38300,
 1980-Jun-12 00:00, , ,   168.93157,    7.09314,
 1980-Jun-22 00:00, , ,   169.68937,    6.74349,
 1980-Jul-02 00:00, , ,   170.57490,    6.34127,
 1980-Jul-12 00:00, , ,   171.57165,    5.89361,
 1980-Jul-22 00:00, , ,   172.66352,    5.40749,
 1980-Aug-01 00:00, , ,   173.83263,    4.89057,
 1980-Aug-11 00:00, , ,   175.06321,    4.34989,
 1980-Aug-21 00:00, , ,   176.33937,    3.79256,
 1980-Aug-31 00:00, , ,   177.64443,    3.22608,
 1980-Sep-10 00:00, , ,   178.96387,    2.65727,
 1980-Sep-20 00:00, , ,   180.28192,    2.09338,
